train_nitrate,train_water,test_nitrate,test_water
0.0116,0.1592,0.0002,0.0786
0.0025,0.0372,0.0002,0.0554
0.0013,0.0204,0.0002,0.045
0.001,0.0149,0.0002,0.0358
0.0007,0.0113,0.0004,0.0914
0.0928,1.6037,0.0025,0.8671
0.269,5.3907,0.0004,0.2304
0.0229,0.5651,0.0001,0.076
0.0052,0.1201,0.0001,0.0549
0.0027,0.0635,0.0002,0.043
0.0015,0.0379,0.0002,0.0402
0.001,0.0279,0.0002,0.0368
0.0008,0.0222,0.0001,0.0363
0.0006,0.0174,0.0002,0.0371
0.0004,0.0103,0.0001,0.0307
0.0003,0.0085,0.0001,0.033
0.0003,0.008,0.0002,0.0376
0.0002,0.006,0.0002,0.0377
0.0002,0.0071,0.0002,0.0371
0.0001,0.0026,0.0002,0.0363
0,0.0003,0.0002,0.0385
0,0,0.0003,0.0395
0,0,0.0005,0.045
0,0.0001,0.0006,0.0405
0,0.0009,0.0006,0.039
0,0.0125,0.0007,0.0405
0,0.0142,0.0006,0.0339
0.0048,0.8576,0.0008,0.0478
0.0033,0.239,0.0008,0.0464
0.0014,0.0804,0.0008,0.0454
0.0009,0.0529,0.0025,0.0614
0.0005,0.0316,0.0145,0.1003
0.0002,0.0169,0.2805,1.1296
0.0001,0.0079,0.4045,1.213
0,0,0.2411,0.5612
0,0,0.9356,7.7541
0,0,0.3302,12.02
0,0,0.0425,3.2553
0,0,0.0165,0.9162
0,0,0.006,0.2823
0,0,0.0022,0.1882
0,0,0.0004,0.1448
0,0,0.0001,0.1069
0.016,1.2807,0.002,0.0863
0.0022,0.1687,0.0163,0.1211
0.0001,0.0081,0.8546,3.6167
0.021,1.7207,0.5365,5.4519
0.1172,11.9582,0.1612,2.3962
0.005,0.9652,0.0113,0.1813
0.0009,0.105,0.0059,0.0995
0.0002,0.0217,0.0049,0.0824
0.0001,0.0109,0.0044,0.0748
0.0001,0.0087,0.0036,0.0605
0.0001,0.0076,0.0031,0.0527
0,0.0015,0.0028,0.0482
0.0204,1.8648,0.003,0.0512
0.0148,1.2314,0.0033,0.0564
0.0008,0.059,0.004,0.068
0.0003,0.0174,0.0048,0.0814
0.0002,0.0109,0.0024,0.0418
0.0644,1.7654,0.0019,0.0335
0.2045,4.5085,0.0016,0.0279
0.1045,3.8728,0.0014,0.0237
0.1704,7.2514,0.0011,0.0191
0.0024,0.291,0.001,0.0173
0.0015,0.1585,0.001,0.0173
0.001,0.0699,0.0009,0.0164
0.0008,0.0522,0.0008,0.0137
0.0008,0.0484,0.0007,0.0116
0.0007,0.0426,0.0007,0.0099
0.0007,0.0407,0.0008,0.0101
0.0009,0.0416,0.0142,0.101
0.0012,0.0424,0.0102,0.0499
0.0023,0.042,0.0102,0.0384
0.8088,13.4988,0.2531,0.5466
0.1395,4.9006,0.2491,0.515
0.0216,0.9074,0.0523,0.1032
0.0196,0.8629,0.0341,0.0695
0.0034,0.1745,0.0461,0.0998
0.0012,0.0775,0.026,0.0587
0.0008,0.0499,0.0186,0.0442
0.0007,0.04,0.012,0.0299
0.0006,0.037,0.0088,0.0228
0.0007,0.0359,0.0061,0.0158
0.0007,0.0286,0.0061,0.0155
0.0008,0.014,0.4343,1.0254
0.5299,10.0019,0.0249,0.0615
0.052,1.193,0.0096,0.0195
0.0054,0.1722,1.9272,3.2188
0.4324,7.1478,1.5609,2.383
0.135,3.6376,0.2093,0.2751
0.2196,4.6439,0.2406,0.334
0.0219,1.036,0.0246,0.0394
0.0031,0.1559,0.0087,0.0143
0.0224,0.474,0.0062,0.0106
0.2849,3.5846,0.0051,0.0092
0.3551,7.8769,0.0044,0.0085
0.0808,2.4559,0.005,0.0101
0.0073,0.2631,0.005,0.0106
0.0035,0.1311,0.0035,0.0087
0.0025,0.0917,0.003,0.0084
0.0021,0.0762,0.0029,0.0088
0.0019,0.0684,0.0032,0.0099
0.0019,0.0656,0.0022,0.0067
0.0019,0.063,0.0016,0.0046
0.0019,0.0584,0.0654,0.3745
0.0024,0.0693,0.0128,0.0716
0.0027,0.076,0.0058,0.0326
0.0031,0.0796,0.0051,0.0291
0.0045,0.0878,0.0064,0.042
0.0071,0.1021,0.1171,1.5115
0.422,3.0747,0.0026,0.0314
0.0232,0.2397,0.0004,0.0043
0.0094,0.1263,0,0
0.0057,0.0961,0,0
0.0051,0.0948,0,0
0.0052,0.1027,0,0
0.0056,0.1139,0,0
0.0052,0.1094,0,0
0.0048,0.1034,0,0
0.0045,0.0924,0,0
0.0058,0.0856,0,0
0.0317,0.2732,0,0
0.4996,3.7319,0.0145,1.0926
0.0686,0.5918,0.0002,0.0047
0.023,0.2185,0.001,0.0217
0.0066,0.0797,0,0.001
0.0046,0.0617,0,0
0.0033,0.049,0,0
0.0024,0.0384,0,0
0.0029,0.0364,0,0
1.1139,4.0129,0,0
1.1136,4.6162,0,0
0.1326,0.7309,0,0
0.037,0.2443,0,0
0.0208,0.1531,0,0
0.0146,0.1168,0,0
0.0118,0.1027,0.0422,2.7376
0.0109,0.1009,0.0021,0.1831
0.0089,0.0887,0.0001,0.0068
0.0074,0.0785,0,0
0.0071,0.0804,0,0
0.0071,0.0872,0.0034,0.3004
0.0068,0.0907,0.0003,0.0494
0.006,0.0854,0,0.0108
0.0051,0.0767,0,0.0013
0.005,0.0806,0,0
0.0036,0.0601,0,0
0.0028,0.0456,0,0
0.0018,0.0295,0,0
0.0016,0.0275,0,0
0.0015,0.0259,0,0
0.0013,0.023,0,0
0.0012,0.0209,0,0
0.0012,0.0192,0,0
0.0013,0.0201,0,0
0.0014,0.0216,0,0
0.0028,0.0406,0,0
0.0114,0.1271,0,0
0.0128,0.1093,0,0
0.0068,0.0539,0,0
0.0038,0.0334,0,0
0.0026,0.0252,0,0
0.0023,0.0239,0,0
0.0023,0.0262,0,0
0.0027,0.0328,0,0
0.0035,0.0445,0,0
0.0039,0.0527,0,0
0.0041,0.056,0,0
0.0037,0.0512,0,0
0.0033,0.0447,0,0
0.0031,0.0423,0,0
0.0031,0.0401,0,0
0.0036,0.0456,0,0
0.0016,0.0199,0,0
0,0,0,0
0.0001,0.0019,0,0
0,0.0001,0,0
0.0002,0.0031,0,0
0,0,0,0
0,0,0,0
0.0003,0.0043,0,0
0.0004,0.0059,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0661,0.104,0,0
0.0075,0.0146,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.0297,0.106,0,0
1.3748,2.2301,0,0
0.5645,0.5828,0,0
0.1203,0.1576,0,0
0.0484,0.0787,0,0
0.0531,0.0957,0,0
0.0231,0.0466,0,0
0.009,0.0208,0,0
